smiles,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,fp12,fp13,fp14,fp15,fp16,fp17,fp18,fp19,fp20,fp21,fp22,fp23,fp24,fp25,fp26,fp27,fp28,fp29,fp30,fp31,fp32,fp33,fp34,fp35,fp36,fp37,fp38,fp39,fp40,fp41,fp42,fp43,fp44,fp45,fp46
C[C@H](NC(=O)N1C[C@@H](c2ccccc2)[C@@H]2COCC[C@H]21)c1ccc(NC(=O)NC2CC2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454136675607555,1.2057887012963588,1.274537997225933,1.2891678322343272,1.0912696281214629,0.0,0.7712155071111056,0.0,0.4890052509375599,0.0,0.0,0.9602160399066358,0.0,0.0,0.8199895438071504,0.6873341312227625,0.0,0.0042242871252307,0.1690100179153535,1.2794790767565911,0.9858360531537872,0.7138528783671391,0.3094662423111184,0.9828011980434964,0.5600762466823404,0.9866901423362774,0.9732012006511482,0.0,0.0,0.0,0.0,0.0,0.0034482730559869,1.111038105040514,1.0389213421815489,0.01346184113029,0.1593210424137742,1.3271014476012617,0.8158856791708735,1.0311995939325176
O=C(Nc1cccc(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1)[C@@H]1Cc2ccccc2O1,0.0039126358954653,0.7645869457703008,0.0,0.0,0.0,0.0034018075155806,1.1376778436476302,1.0313979423543378,1.1601363691296882,1.0235082193616032,1.1638108621566687,1.0155438026816743,0.0,0.999484658287746,0.0,0.9877136673558092,0.0,0.0,0.0,0.12851782454425,0.0,1.25194196368808,1.1196084237041144,1.2585998982047082,0.2008035471472129,1.2282776956363988,1.0111028360106036,0.1606319717918441,0.0,0.0,0.0630569621291232,1.0003827298139658,0.976460775783677,0.9800203947560124,0.0,0.0,0.9692882173252976,0.0065580204755505,0.010621354189471,0.9985483026579876,1.1474210932492233,1.2716478110965004,1.2807582629962355,1.1535230106267622,0.9251399350217228,1.0267019013085217,0.0250219771685563
CS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(-c3nc(-c4ccccc4)n[nH]3)cc2)c1,0.0,0.0,0.57632533606282,0.0,0.0,0.9561895767533204,0.8917480387108263,0.9070217776891812,0.4010066413014335,0.3488253906759174,0.0981242332064441,0.0274444802115155,0.0496174992448382,0.0031594473250122,0.0,0.0,0.0340419327083939,0.0,0.9266584808541932,0.5498664939995075,0.0,1.1678788667425637,0.9886864865519668,0.0020464201538728,0.0,0.0276914860333247,0.980740913284248,1.1100941851430144,1.1714057724609608,1.3012488015836448,0.4786315937949391,1.1377094546144535,0.9989187839708932,0.995150945323702,0.1491834887421672,0.0,0.2644458984187474,0.0135001865474014,0.8369950029948007,0.9983249886391372,1.1227312579808346,1.2728142724935063,1.2984178104973243,1.1391754018092843,0.2424002960868421,0.0065258102611664,0.0071394801134766
O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1,0.0,0.0,0.7430407493368428,0.5489542244221114,0.0,0.0419823208521034,0.471133441641717,0.0,0.0,0.2004121421769951,0.2372406981394715,0.0,0.6581994663157497,0.0267348500912564,0.0,0.0104543429059417,0.0,0.0,0.9912211202170036,0.0,0.0,0.0,0.0081667207724981,0.0158666521254106,0.065324235210865,0.8112566025035093,1.3412434504477972,1.26224462847591,1.2187434059597977,1.2271265249495014,1.2641293901783877,0.0,0.271677678586218,0.0,0.0,0.0,0.7436421428676823,0.0072668731752124,0.0,0.9708972804656996,1.201134641035997,1.1251495590352985,1.2719623420715442,1.3559444956256914,0.0812485023032579,0.0035278293454396,0.8909487548642654
O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)CC1,0.0038274208289835,0.8883029592867651,0.0,0.0,0.0,0.003402190039452,0.948790945645639,1.0941871584884706,0.8458554347728123,1.1548361279750154,0.3607968115148626,1.0521266430322571,0.0,0.9563204396098488,0.1383076136009093,0.0,0.0,0.0,0.5723741427637369,0.0,0.0,0.8212304690790572,0.1338488312832841,1.1155407417910017,0.1530504861561977,0.7674972595701484,0.7301342714837648,1.173544051784067,1.1224641766100587,0.9962170232878216,0.3089384390321037,0.0228164195820035,0.0233373366223448,0.8919237736568852,0.0,0.002857524163338,0.0,0.0,0.0,0.4031533511116872,0.4399306819131154,0.7620487019365734,0.0369194526284676,0.1644731382765119,0.9727777578822075,1.1080021765695791,0.0470331535143514
O=C(c1ccc2c(c1)CCCC2)N1CCCC[C@H]1c1nc(=O)[nH][nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1955964817766027,0.6160556558460977,0.9123356573438554,1.2247617239895976,0.0111047607087195,0.0,0.8852206973540989,0.0,0.5290855126422083,0.0,0.0,0.0067623699589339,0.0,0.0,1.1751680004275784,0.8897282723363109,0.6214573137590913,0.0806717520910685,1.1583900634239876,1.3645070254198453,1.218812671262097,1.1893905187698914,0.770754536286841,1.067142982998725,0.5901710918294991,0.0,0.0,0.0,0.0,0.0027647095623154,0.0,0.0,0.0033112033495274,0.9163044451644138,1.1363087005739154,1.0349683091292574,1.249616281425027,0.9273611521060198,0.3460763848449665,0.0376759954054699
Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCC([C@H]4C(=O)Nc5ccccc54)CC3)ccc12,0.0040567160872884,0.9787914713822884,0.0,0.0,0.0,0.0,0.0511205496267435,1.1001546026657016,1.1347007731145182,1.097097898935239,1.1835937913976662,0.134092588533304,0.0,0.6033665187564525,0.7443259012499639,0.0,0.0,0.0,0.9374061367042378,0.5009225346326023,0.0,0.0053333763348955,0.1878408696672624,0.8048573843068668,0.0296576570127509,0.0719407441508945,1.0139461342614953,1.2213456491808818,1.298904427285155,1.1195431364881996,1.0283800748791816,0.0232542384658637,0.7488261882448265,0.8026214853416672,0.1119726233207542,0.0,0.9174398786488064,0.0,0.3198281870064187,0.0,1.1087723927907105,1.0827658085585845,0.3358490544614963,0.5431273011551996,0.027135250284737,0.0060657344658686,0.1166808346159852
NC(=O)[C@H]1CCCN(c2ccc(C(=O)N3CCC(c4cc5ccccc5[nH]4)CC3)cc2)C1,0.0,0.0,0.0,0.0028554087436137,0.0,0.9943524007120486,1.106811871070466,1.038949971008424,1.0167629795824582,0.0,0.0,1.0949075344402517,0.515725897211355,0.7874816258136628,0.0,0.6325387930347067,0.0,0.0,0.0022673918755341,0.0490953574031035,0.727487374672674,1.076962545803891,1.0534162027077765,1.1383581681927777,0.2252811340647689,1.215505577606271,1.0143201727490887,0.2138099000625849,0.0093638996283194,0.0026673074163316,0.0566118977423399,0.8810007604333482,0.6390152511173057,0.972726546867384,0.0,0.0,0.0,0.0,0.8118375131457103,0.0,0.9910420086082428,0.8842087424847411,0.4096876678837374,0.260929229502982,0.023424909007961,0.0146223397755499,0.0025218356896367
Cn1c(=O)[nH]c2ccc(C(=O)NCC[C@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)cc21,0.9936506908324906,0.9467159691972372,0.7321472717740324,0.0,0.0,1.009861052938953,0.9775009983010652,0.8124109218881636,0.4291515172703909,0.0,0.0,1.1619469512509653,0.0,0.977917333434616,0.0,0.9778964488016992,0.0,0.0,0.0,0.0,1.0139667270531652,1.1020945746040618,1.1153446693637512,1.2765911286719882,0.2106539559381092,1.0891757287310495,0.994484450655327,0.1136070738603888,0.0,0.0,0.0823135426627161,0.0659096717338453,0.5376005727359112,0.6596971563215228,0.00388144148006,0.0,0.0,0.0182713911751889,0.0,0.890758348346288,0.9539284765468647,0.987175428507736,0.2776413286226311,1.237827468211723,0.7127885343572732,0.8284677405906895,0.0294796596983472
O=C([C@H]1CCCc2ccccc21)N1CCC(c2c[nH]c3ncccc23)CC1,0.3922123313748913,0.0,0.0,0.0019620252024625,0.0,0.9160483291366356,1.0606312670206477,0.1147645134124065,0.0022994136330636,1.11319588600007,1.0710767645406865,0.0726574823637391,0.0544240014992105,0.9886134672225698,0.0,0.9785004632492372,0.0,0.0,0.0,0.0,0.0066797650605495,1.243825144655384,1.0829486123057477,1.1452053710350292,0.1701680823718099,1.1969268201204364,1.1702238035756978,0.17419138682265,0.0023629176969015,0.0024778482296815,1.1075566956707728,0.9528474141823042,0.0054201521182654,0.0,0.959802727189371,0.0,0.0,0.9367373769476792,0.0,0.8301004154686062,0.0194213279852296,0.0057290458775073,1.1778282353707132,0.9740563796673009,1.0624417464491849,1.1297164311238308,0.585978452705453
