title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
"Z2493524096",3144,Done,21.77,-8.33684,"glide-grid_6eti",,,-8.33684,0,,,,,,,,,,,,,1,,,-8.33684,-40.487,0.0373482,-40.4497,1.68575,-50.651
"Z2493524096",3145,Done,19.55,-8.28217,"glide-grid_6eti",,,-8.28217,0,,,,,,,,,,,,,1,,,-8.28217,-41.6181,-1.13748,-42.7556,3.99277,-55.4827
"Z2493524096",3146,Done,21.16,-8.26683,"glide-grid_6eti",,,-8.26683,0,,,,,,,,,,,,,1,,,-8.26683,-41.5765,-0.61723,-42.1937,6.23693,-52.8618
"Z2493524096",3147,Done,22.49,-8.05571,"glide-grid_6eti",,,-8.05571,-0.7,,,,,,,,,,,,,1,,,-8.05571,-36.671,-0.463827,-37.1348,13.6117,-34.3544
"Z2493524096",3148,Done,22.21,-8.15921,"glide-grid_6eti",,,-8.15921,0,,,,,,,,,,,,,1,,,-8.15921,-36.8834,0.132267,-36.7511,11.1548,-45.9121
"Z2493524096",3149,Done,22.18,-7.97608,"glide-grid_6eti",,,-7.97608,0,,,,,,,,,,,,,1,,,-7.97608,-37.2481,-0.336057,-37.5842,4.21958,-40.0104
"Z2527329650",3150,Done,76.38,-7.19409,"glide-grid_6eti",,,-7.19409,0,,,,,,,,,,,,,1,,,-7.19409,-39.1269,-1.49202,-40.6189,7.30303,-58.8878
"Z2527329650",3151,Done,66.4,-7.35252,"glide-grid_6eti",,,-7.35252,-0.7,,,,,,,,,,,,,1,,,-7.35252,-38.7186,-8.12869,-46.8472,1.11479,-69.8731
"Z2569318680",3152,Done,32.82,-8.47217,"glide-grid_6eti",,,-8.47217,-0.96,,,,,,,,,,,,,1,,,-8.47217,-32.9944,-5.44226,-38.4367,1.33717,-50.7507
"Z2569318680",3153,Done,35.38,-9.10782,"glide-grid_6eti",,,-9.10782,-0.792591,,,,,,,,,,,,,1,,,-9.10782,-35.9823,-4.96382,-40.9461,7.70673,-47.9174
"Z2569392162",3154,Done,79.17,-6.05185,"glide-grid_6eti",,,-6.05185,-1.10021,,,,,,,,,,,,,1,,,-6.05185,-35.2585,-6.61088,-41.8694,1.62437,-59.0431
"Z2619645827",3155,Done,86.16,-8.65021,"glide-grid_6eti",,,-8.65021,-0.7,,,,,,,,,,,,,1,,,-8.65021,-38.6323,-4.08753,-42.7198,3.06586,-62.1347
