ids,SMILES
Z1508059393,Cc1c(NC[C@@H]2CCCN2S(C)(=O)=O)nn2c(C(F)(F)F)nnc2c1C
Z1508059393,Cc1c(NC[C@H]2CCCN2S(C)(=O)=O)nn2c(C(F)(F)F)nnc2c1C
Z1511646403,Cc1ccc(-c2cc(C(=O)NC3(CO)CC3)[nH]n2)cc1
Z2032948545,CC(=O)N1CCC(CNC(=O)c2cc[nH]c2C2CC2)CC1
Z2202195851,CC(C)[C@@H]1CCCN(C(=O)NCc2cc3ccccc3n(C)c2=O)C1
Z2202195851,CC(C)[C@H]1CCCN(C(=O)NCc2cc3ccccc3n(C)c2=O)C1
Z826943764,CC[NH+]1CCC(CNc2ncnc3ccccc23)CC1
Z908578626,O=C1CCN(C(=O)[C@@H]2CCCc3ccccc32)CCN1
Z908578626,O=C1CCN(C(=O)[C@H]2CCCc3ccccc32)CCN1
Z921257976,COc1ccc([C@H](C)Nc2ncnc3sccc23)cc1
Z921257976,COc1ccc([C@@H](C)Nc2ncnc3sccc23)cc1
Z1250708970,O=C(NCC1(O)CCC1)c1cc(=O)c2ccccc2o1
Z2447348297,Cc1cccc(C(C)C)c1NC(=O)c1cnc(N)cn1
Z432038490,O=C(Nc1cnc2ccccc2c1)[C@H]1CCCC[C@H]1C(=O)[O-]
Z432038490,O=C([O-])[C@H]1CCCC[C@@H]1C(=O)Nc1cnc2ccccc2c1
Z432038490,O=C([O-])[C@@H]1CCCC[C@H]1C(=O)Nc1cnc2ccccc2c1
Z432038490,O=C([O-])[C@H]1CCCC[C@H]1C(=O)Nc1cnc2ccccc2c1
Z1444471031,C[C@@H]1OCCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCC4)[C@@H]1C
Z1444471031,C[C@@H]1[C@@H](C)OCCN1Cc1nc2sc3c(c2c(=O)[nH]1)CCC3
Z1444471031,C[C@@H]1OCCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCC4)[C@H]1C
Z1444471031,C[C@H]1OCCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCC4)[C@H]1C
Z1154375457,COc1ccc(C(=O)[O-])cc1NS(=O)(=O)CCc1ccccc1
Z1984019952,Cn1nncc1C(=O)N1CCN(c2ccc(C(N)=O)cc2)CC1
Z1334656264,O=C([C@@H]1CC(=O)N(c2ccccc2)C1)N1CCN(C2CC2)C(=O)C1
Z1334656264,O=C([C@H]1CC(=O)N(c2ccccc2)C1)N1CCN(C2CC2)C(=O)C1
Z2000545972,O=C(Nc1cc(C2CC2)nn1-c1ccccc1)N[C@H](Cn1ccccc1=O)c1ccccc1
Z2000545972,O=C(Nc1cc(C2CC2)nn1-c1ccccc1)N[C@@H](Cn1ccccc1=O)c1ccccc1
Z443311050,CN(C)C(=O)N1CCC(C(=O)NCc2cccc3ccccc23)CC1
Z2001459505,CCc1cccnc1C(=O)N1CCC[C@H](S(C)(=O)=O)CC1
Z2001459505,CCc1cccnc1C(=O)N1CCC[C@@H](S(C)(=O)=O)CC1
Z512981932,Cc1ccc(NC(=O)[C@@H]2CCCN(C(=O)C3(c4ccccc4)CCC3)C2)nc1
Z512981932,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)C3(c4ccccc4)CCC3)C2)nc1
Z432546152,O=C(NCc1cn2ccsc2n1)NC1CCC(O)CC1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@H]([C@@H]3CCOC3)C2)[C@H](C)C1
