,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
8232,Z1609492864,10220,Done,60.47,-8.17733,glide-grid_6eti,,,-8.17733,0.0,,,,,,,,,,,,,1.0,,,-8.17733,-38.1085,-1.71378,-39.8222,1.07879,-59.5062,CCOc1cc2c(cc1CNC(=O)c1ccc(C(=O)[O-])o1)O[C@@H](C)C2
8236,Z3380160405,15147,Done,54.85,-8.17639,glide-grid_6eti,,,-8.17639,-0.342491,,,,,,,,,,,,,1.0,,,-8.17639,-38.5411,-1.512,-40.0531,1.02892,-59.665,Cn1ncc2c1CC[NH2+][C@@H]2C(=O)NCc1ccc(Cl)cc1
8239,Z54616479,7314,Done,37.01,-8.17629,glide-grid_6eti,,,-8.17629,0.0,,,,,,,,,,,,,1.0,,,-8.17629,-32.9612,-0.699269,-33.6605,0.546199,-52.1508,O=C(Cc1c[nH]c2ccccc12)N[C@H]1C[NH+]2CCC1CC2
8240,Z1576323811,6871,Done,44.62,-8.17625,glide-grid_6eti,,,-8.17625,0.0,,,,,,,,,,,,,1.0,,,-8.17625,-33.0122,0.0177103,-32.9945,4.76698,-47.4086,O=C([C@H]1CCCCO1)N1CCC(Cc2cccnc2)CC1
8241,Z1984019952,80,Done,88.66,-8.17599,glide-grid_6eti,,,-8.17599,-0.7,,,,,,,,,,,,,1.0,,,-8.17599,-42.4793,-4.67766,-47.157,4.63178,-70.3893,Cn1nncc1C(=O)N1CCN(c2ccc(C(N)=O)cc2)CC1
8243,Z928642644,19019,Done,127.13,-8.17595,glide-grid_6eti,,,-8.17595,-0.7,,,,,,,,,,,,,1.0,,,-8.17595,-36.7759,-6.31588,-43.0917,7.78057,-60.4037,O=C([O-])CCNC(=O)c1ccc(NC(=O)c2ccc(Cl)o2)cc1
8244,Z2964720563,8040,Done,66.92,-8.17585,glide-grid_6eti,,,-8.17585,-0.283646,,,,,,,,,,,,,1.0,,,-8.17585,-32.5226,-5.14737,-37.67,5.22489,-52.6618,O=C(C[C@H]1CCNC1=O)NC1(c2ccccc2)COC1
8246,Z2464429033,13879,Done,85.78,-8.17553,glide-grid_6eti,,,-8.17553,-0.20763,,,,,,,,,,,,,1.0,,,-8.17553,-40.2709,-9.28336,-49.5543,0.960893,-67.9355,Cn1c(=O)c2cc(NC(=O)CC[C@H]3CC[NH2+]C3)cnc2n(C)c1=O
8247,Z296953966,9380,Done,76.42,-8.17552,glide-grid_6eti,,,-8.17552,-0.489105,,,,,,,,,,,,,1.0,,,-8.17552,-46.1852,-2.22305,-48.4083,2.65629,-73.8961,COc1ccc(NC(=O)c2csc3c2CCCC3)cc1NS(C)(=O)=O
8249,Z1038533628,5653,Done,78.33,-8.175,glide-grid_6eti,,,-8.175,-0.6537,,,,,,,,,,,,,1.0,,,-8.175,-43.4143,1.20848,-42.2058,3.51919,-66.0752,CON(C)C(=O)c1ccccc1NC(=O)c1noc2c1CCCC2
8250,Z1123687269,20033,Done,45.57,-8.17499,glide-grid_6eti,,,-8.17499,-0.0318912,,,,,,,,,,,,,1.0,,,-8.17499,-27.4462,-12.1437,-39.5899,11.0952,-50.3896,CN(C(=O)c1cc(O)nc2ccccc12)[C@@H]1CC[NH2+]C1
8251,Z1738293767,14183,Done,107.85,-8.17499,glide-grid_6eti,,,-8.17499,-0.38159,,,,,,,,,,,,,1.0,,,-8.17499,-35.1174,-4.67742,-39.7949,2.55527,-58.8715,C[C@@H]1CCCN1S(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)[O-]
8253,Z2947152156,13566,Done,87.47,-8.1748,glide-grid_6eti,,,-8.1748,0.0,,,,,,,,,,,,,1.0,,,-8.1748,-38.2428,-3.9598,-42.2026,4.07279,-65.5702,CC(C)CNC(=O)C1CCN(C(=O)c2ccc(S(C)(=O)=O)nc2)CC1
8256,Z3799775108,2411,Done,78.75,-8.17418,glide-grid_6eti,,,-8.17418,0.0,,,,,,,,,,,,,1.0,,,-8.17418,-34.2642,-1.00522,-35.2695,4.46517,-48.9382,CCCn1cccc1C(=O)N1CC[C@H]2CC[C@]21c1nnc(COC)o1
8257,Z2957541720,13106,Done,73.78,-8.17402,glide-grid_6eti,,,-8.17402,0.0,,,,,,,,,,,,,1.0,,,-8.17402,-35.0911,0.677885,-34.4132,2.20699,-51.0694,CCc1noc(COCC(=O)N2CCOC3(CCCCCC3)C2)n1
8258,Z1267802134,11595,Done,30.74,-8.17398,glide-grid_6eti,,,-8.17398,0.0,,,,,,,,,,,,,1.0,,,-8.17398,-37.8553,-1.9749,-39.8302,3.7025,-54.318,CS(=O)(=O)N1CCN(C(=O)c2cccc3cc[nH]c23)CC1
8259,Z1883166606,11410,Done,71.42,-8.17386,glide-grid_6eti,,,-8.17386,0.0,,,,,,,,,,,,,1.0,,,-8.17386,-35.3034,0.776344,-34.5271,1.33114,-54.2637,Brc1cccc(C2(CNc3nnc(C4CC4)o3)CCOCC2)c1
8260,Z775905470,8714,Done,44.72,-8.17369,glide-grid_6eti,,,-8.17369,0.0,,,,,,,,,,,,,1.0,,,-8.17369,-42.8857,0.729691,-42.156,4.67444,-59.8999,CC[C@H](NC(=O)c1cnn(C)c1C)c1ccc2c(c1)OCCO2
8261,Z1939170527,17659,Done,47.36,-8.17342,glide-grid_6eti,,,-8.17342,-0.7,,,,,,,,,,,,,1.0,,,-8.17342,-37.6983,-0.817724,-38.516,1.39266,-56.5231,Cc1nc(-c2cccc(NCc3ccccc3)c2)[nH]c1C
8265,Z2002429908,4586,Done,79.53,-8.17249,glide-grid_6eti,,,-8.17249,-0.288978,,,,,,,,,,,,,1.0,,,-8.17249,-33.6408,-7.99911,-41.6399,11.8394,-53.9851,O=C(C[NH+]1CCN(C(=O)[C@@H]2CCCC(F)(F)C2)CC1)NC1CC1
8268,Z2072599293,6390,Done,36.08,-8.17224,glide-grid_6eti,,,-8.17224,0.0,,,,,,,,,,,,,1.0,,,-8.17224,-36.4515,-1.19924,-37.6507,7.35456,-48.562,Cc1ccc(NC(=O)c2cc(C(C)C)oc2C)c(C)n1
8270,Z1688269053,19776,Done,8.12,-8.17198,glide-grid_6eti,,,-8.17198,0.0,,,,,,,,,,,,,1.0,,,-8.17198,-39.9852,-0.136187,-40.1214,3.06577,-59.6423,c1cnc2c(c1)CN(c1ncnc3sc4c(c13)CCCC4)CCO2
8271,Z1129469106,9471,Done,82.74,-8.17195,glide-grid_6eti,,,-8.17195,0.0,,,,,,,,,,,,,1.0,,,-8.17195,-40.2626,-0.795847,-41.0585,5.22583,-59.1367,COc1ccnc(N2CCN(C(=O)[C@@H]3CC(=O)N(CC(C)C)C3)CC2)c1
8272,Z1640686821,17600,Done,45.33,-8.17176,glide-grid_6eti,,,-8.17176,0.0,,,,,,,,,,,,,1.0,,,-8.17176,-32.587,-3.29641,-35.8834,2.94021,-52.0023,CC(C)Cn1cc(C(=O)N2CC3(C2)CC(F)(F)C3)cn1
8273,Z1528096786,6775,Done,87.21,-8.17156,glide-grid_6eti,,,-8.17156,-0.23441,,,,,,,,,,,,,1.0,,,-8.17156,-50.4928,1.58265,-48.9102,8.84108,-69.532,O=C1CCN(C(=O)c2ccc(C(=O)Nc3ccccc3)cc2)CCN1
8276,Z2234750826,10668,Done,75.65,-8.17109,glide-grid_6eti,,,-8.17109,-0.48,,,,,,,,,,,,,1.0,,,-8.17109,-34.9251,-4.96949,-39.8946,6.51677,-55.3018,Cc1ccc(Cl)c(OC[C@H](O)C[NH+]2CCn3cncc3C2)c1
8277,Z1190894475,8194,Done,45.94,-8.17104,glide-grid_6eti,,,-8.17104,0.0,,,,,,,,,,,,,1.0,,,-8.17104,-42.0268,1.44425,-40.5826,2.6988,-53.6569,C[C@H](NC(=O)c1ccccc1N1CCCC1=O)c1nncn1C
8279,Z635049352,5015,Done,48.59,-8.16998,glide-grid_6eti,,,-8.16998,-0.623062,,,,,,,,,,,,,1.0,,,-8.16998,-35.768,-2.3412,-38.1092,1.68248,-54.7916,O=C(c1ccc2[nH]ncc2c1)N1CCC(CO)CC1
8280,Z1102260371,2895,Done,50.8,-8.16994,glide-grid_6eti,,,-8.16994,0.0,,,,,,,,,,,,,1.0,,,-8.16994,-45.2144,0.254644,-44.9598,1.30741,-65.3807,O=C(NCc1ccoc1)c1cnc(-c2ccc3c(c2)OCO3)s1
8282,Z808796742,1301,Done,110.36,-8.16879,glide-grid_6eti,,,-8.16879,0.0,,,,,,,,,,,,,1.0,,,-8.16879,-44.7834,-2.24239,-47.0257,3.9391,-68.4424,O=C(NC1CCN(C(=O)c2ccco2)CC1)[C@H]1CCCN(CC(F)(F)F)C1
8285,Z1165479640,953,Done,84.74,-8.16801,glide-grid_6eti,,,-8.16801,0.0,,,,,,,,,,,,,1.0,,,-8.16801,-46.541,-1.7217,-48.2627,3.97024,-73.4591,CN(C)C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1c1nccs1
8292,Z1761423589,2331,Done,40.27,-8.16744,glide-grid_6eti,,,-8.16744,-0.7,,,,,,,,,,,,,1.0,,,-8.16744,-39.4347,-3.14755,-42.5823,5.14699,-55.3899,CC(=O)N1CCC2(CC1)C[C@@H]2N(Cc1ccsc1)C(C)=O
8298,Z2647720357,9620,Done,47.89,-8.16696,glide-grid_6eti,,,-8.16696,-0.7,,,,,,,,,,,,,1.0,,,-8.16696,-31.9625,-4.93374,-36.8963,5.86428,-48.2314,Cc1csc(C(=O)NCC2(O)CCC(F)(F)CC2)c1
8299,Z1686711253,13634,Done,117.37,-8.16685,glide-grid_6eti,,,-8.16685,-0.7,,,,,,,,,,,,,1.0,,,-8.16685,-44.3276,-2.255,-46.5826,1.29414,-72.9692,Cc1ccc(NC(=O)[C@@H](C)Nc2cnn(C[C@H]3CCCO3)c2)cc1C
8306,Z636685314,16262,Done,47.19,-8.16488,glide-grid_6eti,,,-8.16488,0.0,,,,,,,,,,,,,1.0,,,-8.16488,-43.0619,-2.0381,-45.1,0.69159,-67.3201,c1cncc(CNc2ccc(-c3cn4ccccc4n3)cc2)c1
8308,Z57347242,218,Done,22.46,-8.16448,glide-grid_6eti,,,-8.16448,0.0,,,,,,,,,,,,,1.0,,,-8.16448,-37.6312,-1.33348,-38.9647,0.214846,-60.2901,c1ccc(-c2nc(N3CC[NH2+]CC3)nc3ccccc23)cc1
8310,Z3091706379,15657,Done,79.99,-8.16438,glide-grid_6eti,,,-8.16438,-0.7,,,,,,,,,,,,,1.0,,,-8.16438,-38.244,-6.50107,-44.7451,6.75785,-61.9595,Cc1ccc(C)c(C(=O)N2CC(n3cc(CO)nn3)C2)c1
8311,Z2094675900,10832,Done,106.56,-8.16408,glide-grid_6eti,,,-8.16408,-0.7,,,,,,,,,,,,,1.0,,,-8.16408,-34.387,-4.49523,-38.8822,4.85258,-53.9055,COCc1nc(OC)cc(N2CC(O)(c3ccccc3)C2)n1
