,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
0,Z2110198453,14033,Done,122.93,-13.2498,glide-grid_6eti,,,-13.2498,-1.10964,,,,,,,,,,,,,1.0,,,-13.2498,-56.4092,-5.88851,-62.2977,6.17817,-101.065,C[C@H](NC(=O)N1C[C@@H](c2ccccc2)[C@@H]2COCC[C@H]21)c1ccc(NC(=O)NC2CC2)cc1
3,Z806429696,520,Done,102.15,-12.5897,glide-grid_6eti,,,-12.5897,0.0,,,,,,,,,,,,,1.0,,,-12.5897,-65.6986,-4.60605,-70.3046,4.41912,-119.002,O=C(Nc1cccc(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1)[C@@H]1Cc2ccccc2O1
4,Z1481919041,10048,Done,87.66,-12.4785,glide-grid_6eti,,,-12.4785,-1.33,,,,,,,,,,,,,1.0,,,-12.4785,-50.3548,-7.83714,-58.192,3.55289,-94.9518,CS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(-c3nc(-c4ccccc4)n[nH]3)cc2)c1
5,Z1131324646,7628,Done,158.32,-12.4446,glide-grid_6eti,,,-12.4446,-0.7,,,,,,,,,,,,,1.0,,,-12.4446,-54.0151,-7.93463,-61.9497,14.3467,-93.1795,O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1
7,Z1024049144,12506,Done,105.92,-12.3272,glide-grid_6eti,,,-12.3272,0.0,,,,,,,,,,,,,1.0,,,-12.3272,-64.4036,-1.6039,-66.0075,1.89003,-99.6851,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)CC1
8,Z2143782877,20371,Done,43.4,-12.2376,glide-grid_6eti,,,-12.2376,-0.74879,,,,,,,,,,,,,1.0,,,-12.2376,-36.3712,-6.3853,-42.7565,6.04065,-68.6096,O=C(c1ccc2c(c1)CCCC2)N1CCCC[C@H]1c1nc(=O)[nH][nH]1
9,Z1024051690,9856,Done,66.7,-12.1942,glide-grid_6eti,,,-12.1942,0.0,,,,,,,,,,,,,1.0,,,-12.1942,-55.6222,-2.21848,-57.8406,7.80467,-94.9037,Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCC([C@H]4C(=O)Nc5ccccc54)CC3)ccc12
10,Z909179208,2787,Done,112.9,-12.1874,glide-grid_6eti,,,-12.1874,-1.20647,,,,,,,,,,,,,1.0,,,-12.1874,-53.0889,-7.1485,-60.2374,3.26214,-88.5386,NC(=O)[C@H]1CCCN(c2ccc(C(=O)N3CCC(c4cc5ccccc5[nH]4)CC3)cc2)C1
11,Z3396342599,6691,Done,78.52,-12.1792,glide-grid_6eti,,,-12.1792,-0.67887,,,,,,,,,,,,,1.0,,,-12.1792,-54.2453,-2.37945,-56.6247,5.91066,-99.4775,Cn1c(=O)[nH]c2ccc(C(=O)NCC[C@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)cc21
15,Z806431392,18276,Done,39.18,-11.66,glide-grid_6eti,,,-11.66,-0.530102,,,,,,,,,,,,,1.0,,,-11.66,-50.4346,-2.79855,-53.2331,0.523088,-83.0945,O=C([C@H]1CCCc2ccccc21)N1CCC(c2c[nH]c3ncccc23)CC1
16,Z1437153801,10910,Done,70.54,-11.656,glide-grid_6eti,,,-11.656,-0.7,,,,,,,,,,,,,1.0,,,-11.656,-49.6308,-2.8749,-52.5057,1.42751,-85.3207,O=C(c1ccnn1C1CCCC1)N1CCC(c2c[nH]c3ccccc23)CC1
17,Z4401400510,4313,Done,90.08,-11.6394,glide-grid_6eti,,,-11.6394,-0.7,,,,,,,,,,,,,1.0,,,-11.6394,-55.8271,-4.82402,-60.6512,6.01473,-101.964,Nc1nccc([C@H]2CCCN(C(=O)c3cccc(NS(=O)(=O)c4ccc(F)c(F)c4)c3)C2)n1
18,Z1020941934,17402,Done,64.59,-11.6172,glide-grid_6eti,,,-11.6172,0.0,,,,,,,,,,,,,1.0,,,-11.6172,-59.9661,-2.24193,-62.208,6.86212,-94.0985,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)CCC4)C2)CC1
20,Z1147996353,11790,Done,59.41,-11.5664,glide-grid_6eti,,,-11.5664,0.0,,,,,,,,,,,,,1.0,,,-11.5664,-53.6184,-1.01363,-54.632,1.59578,-88.2193,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3CC[C@H](c4ccccc4F)C3)ccc21
22,Z3437366554,3057,Done,40.61,-11.5252,glide-grid_6eti,,,-11.5252,-0.0100545,,,,,,,,,,,,,1.0,,,-11.5252,-49.3134,-7.10873,-56.4221,1.76921,-78.5396,C[C@@H]1Cc2c(C(=O)N3CCC(c4c[nH]c5ncccc45)CC3)n[nH]c2[C@H](C)O1
23,Z1508733488,1274,Done,199.68,-11.5191,glide-grid_6eti,,,-11.5191,-0.269105,,,,,,,,,,,,,1.0,,,-11.5191,-53.7352,-6.61793,-60.3532,14.1293,-96.7927,Cc1cc(NC(=O)c2ccco2)sc1C(=O)N[C@@H](C(=O)Nc1cn[nH]c1)c1ccccc1
24,Z2089229568,15336,Done,41.89,-11.5024,glide-grid_6eti,,,-11.5024,-0.7,,,,,,,,,,,,,1.0,,,-11.5024,-45.902,-4.57603,-50.478,5.1842,-81.2724,O=C1CCCc2cc(C(=O)N3C[C@@H](c4ccccc4)[C@@H]4CCC[C@H]43)ccc2N1
25,Z2984498385,7804,Done,57.61,-11.5004,glide-grid_6eti,,,-11.5004,-0.7,,,,,,,,,,,,,1.0,,,-11.5004,-40.8692,-2.8261,-43.6953,2.8387,-68.6521,CNc1cccc(-c2cn(Cc3cc(C(F)(F)F)nn3C)nn2)c1
27,Z595378952,14706,Done,99.49,-11.4397,glide-grid_6eti,,,-11.4397,-0.7,,,,,,,,,,,,,1.0,,,-11.4397,-61.9022,-4.8479,-66.7501,6.58257,-106.717,O=C(Nc1cccc(Cn2nc3ccccn3c2=O)c1)N1CCC[C@H](c2cc3ccccc3[nH]2)C1
28,Z1545493291,10003,Done,146.04,-11.4164,glide-grid_6eti,,,-11.4164,0.0,,,,,,,,,,,,,1.0,,,-11.4164,-55.0087,-5.06404,-60.0728,17.1981,-81.0968,NC(=O)C1(c2ccccc2)CCN(C(=O)N[C@@H]2CCN(c3ccc(Cl)c(F)c3)C2)CC1
29,Z2116629932,5471,Done,259.02,-11.4113,glide-grid_6eti,,,-11.4113,-1.48018,,,,,,,,,,,,,1.0,,,-11.4113,-45.0788,-8.84254,-53.9213,4.82221,-84.2605,C[C@H](NC(=O)N[C@H](CO)C[C@@H](O)C(C)(C)C)c1ccc(-c2ccncc2)cc1
30,Z2915349630,20606,Done,167.65,-11.3889,glide-grid_6eti,,,-11.3889,-0.7,,,,,,,,,,,,,1.0,,,-11.3889,-42.6992,-7.43348,-50.1327,1.70974,-79.1356,Cc1cccc(-c2cccc(C(=O)N3C[C@@H](CO)[C@H](CO)C3)c2)c1
32,Z1426920248,7449,Done,124.96,-11.3743,glide-grid_6eti,,,-11.3743,-0.7,,,,,,,,,,,,,1.0,,,-11.3743,-39.2204,-11.671,-50.8914,5.13078,-74.2573,O=C(Cc1ccc(O)cc1)N1CCC[C@@H]1C[C@H](O)c1ccccc1
33,Z1171328906,19355,Done,103.73,-11.3738,glide-grid_6eti,,,-11.3738,-0.450734,,,,,,,,,,,,,1.0,,,-11.3738,-48.795,-6.18888,-54.9839,1.21753,-91.8829,O=C(Cc1cccnc1)NCc1cn(-c2ccccc2)nc1-c1ccc(F)cc1
36,Z2022100518,14595,Done,76.94,-11.343,glide-grid_6eti,,,-11.343,0.0,,,,,,,,,,,,,1.0,,,-11.343,-55.9166,-4.09715,-60.0138,8.22556,-97.9265,C#Cc1cc(F)c(NC(=O)C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)c(F)c1
37,Z728655276,11852,Done,143.85,-11.3379,glide-grid_6eti,,,-11.3379,-0.204674,,,,,,,,,,,,,1.0,,,-11.3379,-58.8674,-2.80471,-61.6721,1.99094,-104.005,Cc1ccc2c(c1)C(=O)N(CCCC(=O)N1CCC(C(=O)NCc3ccc(F)cc3)CC1)C2=O
38,Z2120186830,1523,Done,85.72,-11.3251,glide-grid_6eti,,,-11.3251,0.0,,,,,,,,,,,,,1.0,,,-11.3251,-47.5126,-4.05879,-51.5714,2.91406,-77.402,O=C(NCc1noc2c1CCCC2)N[C@H]1CCCN(Cc2ccc(F)cc2F)C1=O
40,Z1116849248,14843,Done,117.35,-11.2984,glide-grid_6eti,,,-11.2984,0.0,,,,,,,,,,,,,1.0,,,-11.2984,-44.0693,-3.2336,-47.3029,6.50116,-73.962,Cc1nc([C@H](NC(=O)[C@H]2C[C@H]2c2ccc(C(F)(F)F)cc2)c2ccccc2)n[nH]1
42,Z2456499677,5874,Done,37.06,-11.2887,glide-grid_6eti,,,-11.2887,-0.16806,,,,,,,,,,,,,1.0,,,-11.2887,-38.0361,-5.38564,-43.4217,2.03719,-62.4132,O=C([C@@H]1C[C@@H]2CC[C@H]1O2)N1CCC(c2nc(=O)[nH][nH]2)CC1
43,Z1479532400,1976,Done,172.82,-11.2878,glide-grid_6eti,,,-11.2878,-0.7,,,,,,,,,,,,,1.0,,,-11.2878,-50.1456,-6.03127,-56.1769,7.23024,-87.2962,Cc1cc(-c2noc(CCC(=O)N3CCC[C@H]3C[C@H](O)c3ccc(F)cc3)n2)ccc1F
45,Z2004899785,8638,Done,134.62,-11.2618,glide-grid_6eti,,,-11.2618,0.0,,,,,,,,,,,,,1.0,,,-11.2618,-54.3841,-3.24084,-57.625,3.38669,-93.4841,O=C(Nc1cccc(C(=O)N2CCC[C@H](CN3CCOCC3)C2)c1)c1ccc2[nH]cnc2c1
46,Z2298723851,21510,Done,152.93,-11.26,glide-grid_6eti,,,-11.26,-1.625,,,,,,,,,,,,,1.0,,,-11.26,-46.9288,-7.69038,-54.6192,5.92254,-88.22,C[C@@](O)(CCc1ccccc1)C(=O)NCc1nc(-c2ccccn2)n[nH]1
47,Z2027558239,804,Done,24.78,-11.2518,glide-grid_6eti,,,-11.2518,0.0,,,,,,,,,,,,,1.0,,,-11.2518,-44.9544,-4.72129,-49.6757,0.9536,-74.2875,O=C(c1ccc2[nH]c(=O)[nH]c2n1)N1Cc2ccccc2-c2ccccc2C1
48,Z1983513112,1719,Done,96.81,-11.25,glide-grid_6eti,,,-11.25,0.0,,,,,,,,,,,,,1.0,,,-11.25,-45.2406,-4.38379,-49.6244,7.90052,-75.6189,C[C@@H](NC(=O)C(Cc1ccccc1)Cc1ccccc1)c1ccc2c(c1)CC(=O)N2
49,Z247390586,1907,Done,61.11,-11.2475,glide-grid_6eti,,,-11.2475,-0.7,,,,,,,,,,,,,1.0,,,-11.2475,-55.2966,-5.96155,-61.2581,7.81853,-86.2269,NC(=O)[C@H](Sc1nc2c(cnn2-c2cccc(Cl)c2)c(=O)[nH]1)c1ccc(F)cc1
50,Z1127829358,11302,Done,84.5,-11.2464,glide-grid_6eti,,,-11.2464,0.0,,,,,,,,,,,,,1.0,,,-11.2464,-50.7948,-3.79624,-54.5911,4.43483,-83.3995,O=C1Cc2cc(CCCC(=O)Nc3ccccc3N3CCCC3=O)ccc2N1
51,Z2114208491,17590,Done,60.89,-11.2179,glide-grid_6eti,,,-11.2179,-0.7,,,,,,,,,,,,,1.0,,,-11.2179,-44.8444,-3.38204,-48.2264,4.18819,-66.1991,O=C1NCc2c(NC(=O)N3CCCC4(CCCCC4)CC3)cccc21
52,Z4081386277,15193,Done,112.4,-11.2021,glide-grid_6eti,,,-11.2021,-0.7,,,,,,,,,,,,,1.0,,,-11.2021,-41.4941,-4.72634,-46.2204,7.26819,-64.9886,O=C([C@@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1)N1CCC[C@@H](O)CC1
53,Z999566940,5455,Done,81.9,-11.1978,glide-grid_6eti,,,-11.1978,0.0,,,,,,,,,,,,,1.0,,,-11.1978,-62.6864,-1.89002,-64.5764,8.46554,-107.692,C[C@@H]1Cc2ccccc2N1C1CCN(C(=O)[C@H]2CCCN(C(=O)c3ccc4[nH]ncc4c3)C2)CC1
54,Z983315390,1993,Done,183.73,-11.1885,glide-grid_6eti,,,-11.1885,-0.7,,,,,,,,,,,,,1.0,,,-11.1885,-58.0829,-3.76998,-61.8529,10.9113,-89.6315,NC(=O)[C@H]1CCCN(c2ccc(C(=O)Nc3ccc(N4CCN(C(=O)C5CC5)CC4)nc3)cc2)C1
57,Z1625156285,8857,Done,177.07,-11.1719,glide-grid_6eti,,,-11.1719,-1.92,,,,,,,,,,,,,1.0,,,-11.1719,-44.1203,-8.78535,-52.9056,18.112,-80.6446,O=C(N[C@H](Cc1ccccc1)C(=O)N1CCCC1)[C@H](O)[C@@H](O)c1nc2ccccc2s1
61,Z410148218,2178,Done,90.02,-11.1595,glide-grid_6eti,,,-11.1595,0.0,,,,,,,,,,,,,1.0,,,-11.1595,-52.5969,-0.523492,-53.1203,11.0834,-77.6522,COc1ccc([C@@H]2CCCN2C(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)cc1OC
62,Z1145755683,6212,Done,46.46,-11.1529,glide-grid_6eti,,,-11.1529,-0.699338,,,,,,,,,,,,,1.0,,,-11.1529,-40.0309,-6.71425,-46.7451,1.41639,-71.52,O=C(N[C@H]1CCc2ccc(F)cc21)c1c[nH]nc1-c1ccccc1
63,Z1838664892,7129,Done,222.94,-11.1402,glide-grid_6eti,,,-11.1402,-0.5874,,,,,,,,,,,,,1.0,,,-11.1402,-47.2898,-4.42456,-51.7144,1.12487,-79.3092,O=C(Nc1ccc(C(=O)N2CCCCCC2)cc1)c1cn([C@H]2CCOC2)nn1
64,Z1508730095,13177,Done,212.48,-11.109,glide-grid_6eti,,,-11.109,-0.7,,,,,,,,,,,,,1.0,,,-11.109,-48.6919,-4.83487,-53.5267,2.8111,-85.3379,CC(C)C[C@@H](NC(=O)Cc1ccc(-c2ccccc2)cc1)c1nc(-c2nnc[nH]2)no1
65,Z1493752655,19425,Done,69.89,-11.0989,glide-grid_6eti,,,-11.0989,-1.61981,,,,,,,,,,,,,1.0,,,-11.0989,-39.1253,-6.84752,-45.9728,4.15769,-67.8894,CC(C)[C@@H](O)CC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1
66,Z1522500479,11171,Done,102.74,-11.0972,glide-grid_6eti,,,-11.0972,0.0,,,,,,,,,,,,,1.0,,,-11.0972,-48.5789,-3.21524,-51.7941,3.8683,-80.7841,O=C1CCCc2cc(C(=O)N(CCCO)Cc3cccc(Cl)c3)ccc2N1
67,Z1643938811,17065,Done,90.44,-11.0846,glide-grid_6eti,,,-11.0846,-0.0786916,,,,,,,,,,,,,1.0,,,-11.0846,-53.005,-2.92198,-55.927,1.83493,-92.6992,COc1cccc(C(=O)NCC(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1
68,Z3068704737,7805,Done,132.37,-11.0779,glide-grid_6eti,,,-11.0779,-0.7,,,,,,,,,,,,,1.0,,,-11.0779,-38.4839,-9.12981,-47.6137,15.8023,-68.9268,O=C([C@H](c1ccccc1)n1sc2ccccc2c1=O)N1C[C@@H](CO)[C@@H](CO)C1
70,Z3687104686,14982,Done,146.62,-11.0715,glide-grid_6eti,,,-11.0715,-1.21198,,,,,,,,,,,,,1.0,,,-11.0715,-46.5395,-6.01149,-52.551,2.26788,-79.7228,Cc1cc(CC(=O)N[C@@H]2C[C@H](Cn3ccnc3-c3ccccc3)C[C@@H]2O)n[nH]1
71,Z806431816,1831,Done,55.19,-11.0707,glide-grid_6eti,,,-11.0707,-0.549446,,,,,,,,,,,,,1.0,,,-11.0707,-51.5847,-3.81586,-55.4006,2.44353,-88.7045,O=C1Nc2ccccc2O[C@H]1CC(=O)N1CCC(c2c[nH]c3ncccc23)CC1
73,Z2015397811,2783,Done,87.37,-11.067,glide-grid_6eti,,,-11.067,-0.519166,,,,,,,,,,,,,1.0,,,-11.067,-44.7158,-2.84364,-47.5595,4.36982,-73.2867,O=C(NC[C@@H](O)c1cccc(Cl)c1)c1c[nH]nc1-c1c(F)cccc1F
74,Z2090537081,6400,Done,199.34,-11.0628,glide-grid_6eti,,,-11.0628,-0.505599,,,,,,,,,,,,,1.0,,,-11.0628,-52.7727,-4.51081,-57.2835,6.16728,-90.7369,O=C(CCc1nc2cccnc2[nH]1)N(Cc1ccccc1)C[C@@H](O)c1ccccc1
75,Z1005373744,7260,Done,136.38,-11.0618,glide-grid_6eti,,,-11.0618,0.0,,,,,,,,,,,,,1.0,,,-11.0618,-56.9072,-2.32719,-59.2344,6.84552,-88.6844,O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1C[C@H](O)CN1C(=O)c1ccc(F)cc1
77,Z1100900276,6082,Done,144.01,-11.0564,glide-grid_6eti,,,-11.0564,-0.7,,,,,,,,,,,,,1.0,,,-11.0564,-48.696,-7.07555,-55.7716,2.65587,-93.0569,Cc1ccc(CNC(=O)C2CCN(C(=O)NC3CC(c4ccccc4)C3)CC2)cc1F
78,Z1500091775,6648,Done,114.36,-11.0561,glide-grid_6eti,,,-11.0561,0.0,,,,,,,,,,,,,1.0,,,-11.0561,-44.1003,-4.58724,-48.6875,2.18308,-80.2695,CCn1cc(C(=O)NCC2([C@H](O)c3ccccc3)CC2)c2ccccc21
79,Z1529386613,20108,Done,193.7,-11.0505,glide-grid_6eti,,,-11.0505,-0.7,,,,,,,,,,,,,1.0,,,-11.0505,-41.1234,-4.22923,-45.3526,8.96007,-77.5144,O=C(N[C@H]1CCCCC[C@@H]1CO)[C@H](c1ccccc1)n1cnc2ccccc21
81,Z446936460,9365,Done,119.99,-11.0372,glide-grid_6eti,,,-11.0372,-0.7,,,,,,,,,,,,,1.0,,,-11.0372,-50.6082,-5.45098,-56.0591,5.16291,-84.5785,COc1cccc(CNC(=O)N2CCC(C(=O)NCc3ccc(F)cc3)CC2)c1
82,Z1531324664,7487,Done,159.52,-11.035,glide-grid_6eti,,,-11.035,-0.7,,,,,,,,,,,,,1.0,,,-11.035,-45.437,-3.01931,-48.4563,14.2351,-75.2233,C[C@](O)(CNC(=O)[C@@H]1CCCN(C(=O)Cc2ccccc2)C1)c1ccc(F)cc1
83,Z887142122,11628,Done,86.35,-11.0291,glide-grid_6eti,,,-11.0291,-0.0990523,,,,,,,,,,,,,1.0,,,-11.0291,-50.5793,-4.52634,-55.1056,3.40676,-90.86,Cc1cc(C)c(N2C[C@@H](C(=O)NCc3ccnc(-n4ccnc4)c3)CC2=O)c(C)c1
86,Z1672836099,12642,Done,97.22,-11.0211,glide-grid_6eti,,,-11.0211,-1.18,,,,,,,,,,,,,1.0,,,-11.0211,-51.3128,-4.7043,-56.0171,7.00077,-84.0219,COc1ccc(-c2noc(-c3ccc(NC(=O)c4cc(F)cc(F)c4)cc3O)n2)cn1
89,Z367837298,8265,Done,107.88,-11.0089,glide-grid_6eti,,,-11.0089,-0.7,,,,,,,,,,,,,1.0,,,-11.0089,-53.64,-4.32,-57.96,3.22144,-97.4892,CCOc1ccccc1C(=O)N1CCC[C@@H]1C(=O)NCc1nc2ccccc2n1CC
91,Z1179672497,6229,Done,44.47,-10.9656,glide-grid_6eti,,,-10.9656,-0.608554,,,,,,,,,,,,,1.0,,,-10.9656,-53.3918,-0.722308,-54.1141,3.51005,-85.4152,O=C(O[C@H]1CCN(c2ccccc2Cl)C1=O)c1n[nH]c(=O)c2ccccc12
95,Z1169884390,2994,Done,58.85,-10.9372,glide-grid_6eti,,,-10.9372,0.0,,,,,,,,,,,,,1.0,,,-10.9372,-44.4462,-3.29209,-47.7382,3.49375,-70.6846,O=C1Cc2cc(CCCc3nc(-c4ccc(F)cc4)no3)ccc2N1
96,Z1558835189,11786,Done,123.24,-10.9355,glide-grid_6eti,,,-10.9355,-1.33,,,,,,,,,,,,,1.0,,,-10.9355,-46.5024,-8.3296,-54.832,1.25584,-90.1073,CC(C)C(=O)Nc1cccc(NC(=O)c2cccc(-c3ncn[nH]3)c2)c1
98,Z1132550717,20219,Done,150.82,-10.9264,glide-grid_6eti,,,-10.9264,-0.7,,,,,,,,,,,,,1.0,,,-10.9264,-55.7747,-6.94399,-62.7186,3.77374,-111.272,Cc1ccc(CNC(=O)c2cccc(CNC(=O)Nc3ccc4c(c3)CCC(=O)N4C)c2)cc1
99,Z2019392714,6014,Done,242.24,-10.9172,glide-grid_6eti,,,-10.9172,-0.980163,,,,,,,,,,,,,1.0,,,-10.9172,-49.1811,-6.50808,-55.6891,1.69707,-87.9029,O=C(C[NH+]1CC[C@](F)(CO)C1)NCc1cn(Cc2ccccc2)nc1-c1ccccc1
101,Z968517082,1981,Done,82.69,-10.9103,glide-grid_6eti,,,-10.9103,0.0,,,,,,,,,,,,,1.0,,,-10.9103,-56.2291,-6.56409,-62.7932,6.17822,-89.9558,Cc1n[nH]c(-c2ccc(NC(=O)CN3C(=O)N[C@@](C)(c4ccc5ccccc5c4)C3=O)cc2)n1
102,Z2013389186,8790,Done,65.33,-10.9098,glide-grid_6eti,,,-10.9098,-0.96,,,,,,,,,,,,,1.0,,,-10.9098,-41.4016,-7.44986,-48.8514,5.54358,-72.8939,C[C@](O)(CCc1ccccc1)C(=O)N[C@@H]1CCCOc2ccccc21
103,Z421523490,13373,Done,114.87,-10.9098,glide-grid_6eti,,,-10.9098,-0.672019,,,,,,,,,,,,,1.0,,,-10.9098,-60.0222,-6.44937,-66.4716,7.19896,-110.955,Cc1ccc(NC(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)cc1NS(=O)(=O)c1ccccc1
106,Z1685092290,12604,Done,32.58,-10.892,glide-grid_6eti,,,-10.892,-0.699422,,,,,,,,,,,,,1.0,,,-10.892,-43.301,-3.67202,-46.973,8.06095,-69.1611,c1ccc2c(c1)OCC[C@@H]2c1nc(-c2ccc3[nH]cnc3c2)no1
107,Z2013621305,13346,Done,49.16,-10.8916,glide-grid_6eti,,,-10.8916,-0.648704,,,,,,,,,,,,,1.0,,,-10.8916,-37.0004,-4.98787,-41.9883,11.727,-61.4734,Cn1nc(-c2ccccc2)c2c(NC(=O)[C@H]3C[C@@H]3C(F)F)n[nH]c21
108,Z2218167858,13271,Done,69.78,-10.8904,glide-grid_6eti,,,-10.8904,-0.746848,,,,,,,,,,,,,1.0,,,-10.8904,-36.8506,-9.44958,-46.3002,14.8913,-60.8095,Cc1ccc(C2(CNc3nc(=O)c4cn[nH]c4[nH]3)CCCC2)c(C)c1
109,Z1521648039,4609,Done,33.19,-10.8881,glide-grid_6eti,,,-10.8881,-0.571865,,,,,,,,,,,,,1.0,,,-10.8881,-42.5036,-4.05867,-46.5623,8.1241,-55.7042,O=C([C@@H]1CCc2[nH]ncc2C1)N1CCC[C@@H]1c1ccccc1
110,Z1818217592,10906,Done,68.93,-10.8878,glide-grid_6eti,,,-10.8878,0.0,,,,,,,,,,,,,1.0,,,-10.8878,-47.5655,-2.58389,-50.1494,3.22273,-77.1658,O=C(Cc1c[nH]c2ccc(F)cc12)N[C@@H]1CCCN(Cc2ccc(F)cc2F)C1=O
111,Z2007555896,4599,Done,68.13,-10.8874,glide-grid_6eti,,,-10.8874,-0.7,,,,,,,,,,,,,1.0,,,-10.8874,-47.2914,-2.76878,-50.0602,0.969974,-84.1859,Cn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CC[C@@H](c2ccc(C(F)(F)F)cc2)C1
112,Z1978281122,1406,Done,74.78,-10.8836,glide-grid_6eti,,,-10.8836,-0.7,,,,,,,,,,,,,1.0,,,-10.8836,-45.4516,-4.72572,-50.1773,1.91733,-81.6991,COc1ccc2cc(C(=O)N3CCC(O)(Cc4ccncc4)CC3)c(C)nc2c1
113,Z1147314593,7438,Done,50.56,-10.8815,glide-grid_6eti,,,-10.8815,0.0,,,,,,,,,,,,,1.0,,,-10.8815,-39.6211,-6.45618,-46.0773,2.44485,-68.5802,C[C@@H](NC(=O)c1c[nH]nc1-c1cccnc1)c1ccc(Cl)cc1
115,Z435422592,3401,Done,276.28,-10.8715,glide-grid_6eti,,,-10.8715,-0.273584,,,,,,,,,,,,,1.0,,,-10.8715,-60.223,-4.63046,-64.8534,4.98119,-115.182,NS(=O)(=O)c1cccc(CNC(=O)NCc2cn(Cc3ccccc3)nc2-c2ccccc2)c1
117,Z940837262,16355,Done,100.74,-10.8632,glide-grid_6eti,,,-10.8632,0.0,,,,,,,,,,,,,1.0,,,-10.8632,-44.2231,-7.82558,-52.0487,2.23464,-79.7795,O=C(NCc1ccccc1)C1CCN(C(=O)N[C@H]2COc3ccccc32)CC1
118,Z1727366661,21131,Done,108.64,-10.8618,glide-grid_6eti,,,-10.8618,0.0,,,,,,,,,,,,,1.0,,,-10.8618,-42.8113,-3.54569,-46.357,5.86152,-67.9303,Cc1cc(F)ccc1-n1ccc(C(=O)N2CCc3ccccc3[C@H]2CO)n1
119,Z3442883332,1803,Done,33.17,-10.8615,glide-grid_6eti,,,-10.8615,-0.7,,,,,,,,,,,,,1.0,,,-10.8615,-46.0654,-3.45644,-49.5218,4.8355,-75.0865,C[C@H]1Cc2c(C(=O)N3CCc4[nH]nc(C(F)(F)F)c4C3)n[nH]c2[C@@H](C)O1
120,Z1530856063,8284,Done,141.36,-10.8544,glide-grid_6eti,,,-10.8544,0.0,,,,,,,,,,,,,1.0,,,-10.8544,-49.3878,-6.35817,-55.746,6.5013,-80.9439,NC(=O)NCc1ccc(C(=O)NC[C@H]2CC(=O)N(Cc3ccccc3)C2)cc1
123,Z1147977673,8623,Done,73.64,-10.8458,glide-grid_6eti,,,-10.8458,0.0,,,,,,,,,,,,,1.0,,,-10.8458,-49.7507,-2.06051,-51.8112,1.23874,-82.6141,O=C1C[C@@H](C(=O)Nc2c(F)cccc2Oc2ccccc2)c2ccccc2N1
124,Z2227821558,11957,Done,126.84,-10.8417,glide-grid_6eti,,,-10.8417,-0.355637,,,,,,,,,,,,,1.0,,,-10.8417,-52.9369,-3.38695,-56.3238,5.69709,-88.2805,O=C(CC[C@@H]1Cc2ccccc2NC1=O)Nc1c(-c2ccccc2)[nH][nH]c1=O
125,Z2015413125,6744,Done,67.05,-10.8414,glide-grid_6eti,,,-10.8414,-0.985095,,,,,,,,,,,,,1.0,,,-10.8414,-48.9563,-3.05247,-52.0088,1.15097,-81.6047,O=C(NC[C@H](O)c1cccc(Cl)c1)c1c[nH]nc1-c1ccc(Cl)s1
126,Z3687055401,1046,Done,166.33,-10.8388,glide-grid_6eti,,,-10.8388,-1.61481,,,,,,,,,,,,,1.0,,,-10.8388,-47.5937,-5.16996,-52.7637,4.65308,-77.618,O=C(CCCc1c[nH]c2ccccc12)N[C@@H]1C[C@H](Cn2ccnc2)C[C@@H]1O
